Depart,Arrivée,Lieu Propre ?,Association,Nombre de Bénévoles,Durée (min),Date,Type de Lieu,Déchets (kg),Mégots (kg),Qualité  Mégots
"Mairie du 20ᵉ arrondissement de Paris, 6 Pl. Gambetta, 75020 Paris","Pl. Martin Nadaud, 75020 Paris",,La Brigade Verte Paris,15,90,14/02/2026,Rue/Allée/Villa/Ruelle/Impasse,,"1,5",Propre
"Studio Ferber, 6 Rue Pierre Mouillard, 75020 Paris","Pl. Saint-Fargeau, 75020 Paris",,La Brigade Verte Paris,10,90,06/03/2026,Rue/Allée/Villa/Ruelle/Impasse,,"0,3",Propre
"Porte des Lilas, 75020 Paris","Jardin Serge Gainsbourg, 9 Av. de la Prte des Lilas, 75019 Paris",,La Brigade Verte Paris,20,90,21/03/2026,Rue/Allée/Villa/Ruelle/Impasse,20,"2,5",Propre
"Ecole élémentaire Pierre Foncin (Ecole A), 8 Rue Pierre Foncin, 75020 Paris","Saveurs en Partage, 38 Bd Mortier, 75020 Paris",,La Brigade Verte Paris,10,60,11/04/2026,Rue/Allée/Villa/Ruelle/Impasse,,"0,75",Propre
"Rue Jacques Louvel-Tessier, 75010 Paris","Rue Marguerite Moret, 75011 Paris",,La Brigade Verte Paris,10,60,22/04/2026,Rue/Allée/Villa/Ruelle/Impasse,20,"0,5",Propre
