Départ,Arrivée,Lieu Propre ?,Association,Nombre de bénévoles,Durée (min),Date,Type de Lieu,Déchets (kg),Mégots (kg),Qualité Mégots
"Mairie du 20ᵉ arrondissement de Paris, 6 Pl. Gambetta, 75020 Paris","Pl. Martin Nadaud, 75020 Paris",,La Brigade Verte Paris,15,90,2026-02-14,Rue/Allée/Villa/Ruelle/Impasse,0,,
"Porte des Lilas, 75020 Paris","Jardin Serge Gainsbourg, 9 Av. de la Prte des Lilas, 75019 Paris",,La Brigade Verte Paris,20,90,2026-03-21,Rue/Allée/Villa/Ruelle/Impasse,0,,
"Ecole élémentaire Pierre Foncin (Ecole A), 8 Rue Pierre Foncin, 75020 Paris","Saveurs en Partage, 38 Bd Mortier, 75020 Paris",,La Brigade Verte Paris,10,60,2026-04-11,Rue/Allée/Villa/Ruelle/Impasse,0,,
"Rue Jacques Louvel-Tessier, 75010 Paris","Rue Marguerite Moret, 75011 Paris",,La Brigade Verte Paris,10,60,2026-04-22,Rue/Allée/Villa/Ruelle/Impasse,0,,
